Activity,Id_Leg,Checkin,Start,End,Checkout,Tempo Solo
AD5046,-I,2017-11-01 18:55:00,2017-11-01 19:48:00,2017-11-01 21:37:00,2017-11-02 04:01:00,0 days 00:46:00
AD2852,-M,2017-11-01 18:55:00,2017-11-01 22:23:00,2017-11-01 23:31:00,2017-11-02 04:01:00,0 days 00:31:00
AD2852,-M,2017-11-01 18:55:00,2017-11-02 00:02:00,2017-11-02 01:43:00,2017-11-02 04:01:00,0 days 00:30:00
AD2899,-I,2017-11-04 10:10:00,2017-11-04 10:43:00,2017-11-04 11:37:00,2017-11-04 17:38:00,0 days 00:36:00
AD2433,-M,2017-11-04 10:10:00,2017-11-04 12:13:00,2017-11-04 14:19:00,2017-11-04 17:38:00,0 days 01:06:00
AD4441,-I,2017-11-05 07:20:00,2017-11-05 07:55:00,2017-11-05 09:28:00,2017-11-05 17:16:00,0 days 00:58:00
AD4150,-M,2017-11-05 07:20:00,2017-11-05 10:26:00,2017-11-05 13:15:00,2017-11-05 17:16:00,0 days 00:34:00
AD5215,-I,2017-11-08 07:35:00,2017-11-08 08:23:00,2017-11-08 09:23:00,2017-11-08 14:56:00,0 days 00:27:00
AD4013,-M,2017-11-08 07:35:00,2017-11-08 09:50:00,2017-11-08 11:12:00,2017-11-08 14:56:00,0 days 00:34:00
AD4282,-M,2017-11-08 07:35:00,2017-11-08 11:46:00,2017-11-08 12:41:00,2017-11-08 14:56:00,0 days 00:34:00
AD6902,-I,2017-11-11 09:20:00,2017-11-11 10:17:00,2017-11-11 13:21:00,2017-11-11 18:25:00,0 days 01:05:00
AD9087,-I,2017-12-22 12:50:00,2017-12-22 13:45:00,2017-12-22 15:31:00,2017-12-22 20:06:00,0 days 00:23:00
AD9087,-M,2017-12-22 12:50:00,2017-12-22 15:54:00,2017-12-22 16:53:00,2017-12-22 20:06:00,0 days 00:46:00
AD5352,-I,2017-12-26 00:20:00,2017-12-26 01:10:00,2017-12-26 03:57:00,2017-12-26 07:39:00,0 days 00:29:00
AD5065,-I,2018-01-07 15:10:00,2018-01-07 16:13:00,2018-01-07 18:33:00,2018-01-08 00:15:00,0 days 00:38:00
AD2518,-M,2018-01-07 15:10:00,2018-01-07 19:11:00,2018-01-07 21:31:00,2018-01-08 00:15:00,0 days 00:35:00
AD2769,-I,2018-01-08 19:35:00,2018-01-08 20:09:00,2018-01-08 21:41:00,2018-01-09 03:37:00,0 days 00:34:00
AD2940,-M,2018-01-08 19:35:00,2018-01-08 22:15:00,2018-01-08 23:29:00,2018-01-09 03:37:00,0 days 02:00:00
AD4286,-I,2018-01-09 18:00:00,2018-01-09 19:03:00,2018-01-09 21:24:00,2018-01-10 02:57:00,0 days 00:52:00
AD5028,-M,2018-01-09 18:00:00,2018-01-09 22:16:00,2018-01-09 23:23:00,2018-01-10 02:57:00,0 days 01:47:00
AD4990,-I,2018-01-10 17:00:00,2018-01-10 17:39:00,2018-01-10 18:38:00,2018-01-10 22:44:00,0 days 00:28:00
AD4990,-M,2018-01-10 17:00:00,2018-01-10 19:06:00,2018-01-10 20:20:00,2018-01-10 22:44:00,0 days 00:35:00
AD5388,-I,2018-01-11 14:55:00,2018-01-11 16:00:00,2018-01-11 18:31:00,2018-01-12 00:35:00,0 days 00:30:00
AD5348,-M,2018-01-11 14:55:00,2018-01-11 19:01:00,2018-01-11 21:35:00,2018-01-12 00:35:00,0 days 00:25:00
AD2995,-I,2018-01-14 17:30:00,2018-01-14 18:23:00,2018-01-14 20:10:00,2018-01-15 03:03:00,0 days 00:27:00
AD2724,-M,2018-01-14 17:30:00,2018-01-14 20:37:00,2018-01-14 21:38:00,2018-01-15 03:03:00,0 days 00:30:00
AD6964,-M,2018-01-14 17:30:00,2018-01-14 22:08:00,2018-01-14 23:21:00,2018-01-15 03:03:00,0 days 02:06:00
AD2538,-I,2018-01-27 09:45:00,2018-01-27 10:30:00,2018-01-27 11:38:00,2018-01-27 13:45:00,0 days 00:26:00
AD4150,-I,2018-01-28 09:25:00,2018-01-28 10:21:00,2018-01-28 13:25:00,2018-01-28 19:25:00,0 days 00:25:00
AD4151,-M,2018-01-28 09:25:00,2018-01-28 13:50:00,2018-01-28 16:51:00,2018-01-28 19:25:00,0 days 00:54:00
AD4040,-I,2018-01-29 09:10:00,2018-01-29 10:01:00,2018-01-29 11:17:00,2018-01-29 17:50:00,0 days 00:29:00
AD5162,-M,2018-01-29 09:10:00,2018-01-29 11:46:00,2018-01-29 13:28:00,2018-01-29 17:50:00,0 days 00:31:00
AD4952,-M,2018-01-29 09:10:00,2018-01-29 13:59:00,2018-01-29 15:15:00,2018-01-29 17:50:00,0 days 00:30:00
AD2787,-I,2018-01-30 07:45:00,2018-01-30 08:19:00,2018-01-30 09:32:00,2018-01-30 16:55:00,0 days 00:54:00
AD2787,-M,2018-01-30 07:45:00,2018-01-30 10:26:00,2018-01-30 12:37:00,2018-01-30 16:55:00,0 days 01:23:00
AD5066,-I,2018-02-01 09:35:00,2018-02-01 10:29:00,2018-02-01 14:09:00,2018-02-01 18:34:00,0 days 00:48:00
AD2840,-M,2018-02-01 09:35:00,2018-02-01 14:57:00,2018-02-01 16:12:00,2018-02-01 18:34:00,0 days 00:35:00
AD2840,-I,2018-02-02 14:20:00,2018-02-02 15:06:00,2018-02-02 16:30:00,2018-02-03 00:08:00,0 days 00:30:00
AD2841,-M,2018-02-02 14:20:00,2018-02-02 17:00:00,2018-02-02 18:19:00,2018-02-03 00:08:00,0 days 01:18:00
AD2800,-M,2018-02-02 14:20:00,2018-02-02 19:37:00,2018-02-02 21:19:00,2018-02-03 00:08:00,0 days 00:33:00
AD4113,-I,2018-02-04 06:30:00,2018-02-04 07:02:00,2018-02-04 08:31:00,2018-02-04 15:01:00,0 days 01:11:00
AD2829,-M,2018-02-04 06:30:00,2018-02-04 09:42:00,2018-02-04 11:04:00,2018-02-04 15:01:00,0 days 00:41:00
AD5244,-M,2018-02-04 06:30:00,2018-02-04 11:45:00,2018-02-04 12:58:00,2018-02-04 15:01:00,0 days 00:27:00
AD9161,-I,2018-02-05 07:05:00,2018-02-05 08:04:00,2018-02-05 09:39:00,2018-02-05 15:31:00,0 days 00:32:00
AD9110,-M,2018-02-05 07:05:00,2018-02-05 10:11:00,2018-02-05 12:10:00,2018-02-05 15:31:00,0 days 00:35:00
AD9288,-I,2018-02-15 15:15:00,2018-02-15 16:11:00,2018-02-15 17:13:00,2018-02-15 23:00:00,0 days 00:33:00
AD4433,-M,2018-02-15 15:15:00,2018-02-15 17:46:00,2018-02-15 19:17:00,2018-02-15 23:00:00,0 days 00:28:00
AD4233,-M,2018-02-15 15:15:00,2018-02-15 19:45:00,2018-02-15 20:51:00,2018-02-15 23:00:00,0 days 00:33:00
AD4260,-I,2018-02-19 21:10:00,2018-02-19 21:57:00,2018-02-19 23:11:00,2018-02-20 05:29:00,0 days 00:31:00
AD4261,-M,2018-02-19 21:10:00,2018-02-19 23:42:00,2018-02-20 01:05:00,2018-02-20 05:29:00,0 days 01:29:00
AD4474,-M,2018-02-19 21:10:00,2018-02-20 02:34:00,2018-02-20 02:55:00,2018-02-20 05:29:00,0 days 00:31:00
AD4148,-I,2018-02-27 17:55:00,2018-02-27 19:57:00,2018-02-27 21:18:00,2018-02-28 02:11:00,0 days 00:22:00
AD4149,-M,2018-02-27 17:55:00,2018-02-27 21:40:00,2018-02-27 23:05:00,2018-02-28 02:11:00,0 days 00:57:00
AD2498,-I,2018-03-05 00:50:00,2018-03-05 01:39:00,2018-03-05 04:31:00,2018-03-05 08:55:00,0 days 00:59:00
AD2669,-I,2018-03-17 18:50:00,2018-03-17 19:37:00,2018-03-17 20:39:00,2018-03-18 04:06:00,0 days 01:35:00
AD2749,-M,2018-03-17 18:50:00,2018-03-17 22:14:00,2018-03-17 23:28:00,2018-03-18 04:06:00,0 days 02:23:00
AD9110,-I,2018-03-30 01:50:00,2018-03-30 02:39:00,2018-03-30 04:28:00,2018-03-30 11:23:00,0 days 01:49:00
AD9157,-M,2018-03-30 01:50:00,2018-03-30 06:17:00,2018-03-30 08:14:00,2018-03-30 11:23:00,0 days 00:42:00
AD5215,-I,2018-04-04 09:00:00,2018-04-04 09:47:00,2018-04-04 10:48:00,2018-04-04 18:32:00,0 days 00:41:00
AD4005,-M,2018-04-04 09:00:00,2018-04-04 11:29:00,2018-04-04 12:49:00,2018-04-04 18:32:00,0 days 00:43:00
AD4048,-M,2018-04-04 09:00:00,2018-04-04 13:32:00,2018-04-04 14:32:00,2018-04-04 18:32:00,0 days 02:12:00
AD5756,-I,2018-04-05 08:30:00,2018-04-05 09:09:00,2018-04-05 10:00:00,2018-04-05 16:15:00,0 days 01:06:00
AD5756,-M,2018-04-05 08:30:00,2018-04-05 11:06:00,2018-04-05 12:29:00,2018-04-05 16:15:00,0 days 00:36:00
AD5093,-M,2018-04-05 08:30:00,2018-04-05 13:05:00,2018-04-05 14:19:00,2018-04-05 16:15:00,0 days 00:27:00
AD2890,-I,2018-04-12 01:00:00,2018-04-12 01:48:00,2018-04-12 05:00:00,2018-04-12 09:03:00,0 days 00:33:00
AD4204,-I,2018-04-18 13:10:00,2018-04-18 13:56:00,2018-04-18 15:42:00,2018-04-18 22:05:00,0 days 00:38:00
AD4204,-M,2018-04-18 13:10:00,2018-04-18 16:20:00,2018-04-18 17:10:00,2018-04-18 22:05:00,0 days 00:40:00
AD4204,-M,2018-04-18 13:10:00,2018-04-18 17:50:00,2018-04-18 19:50:00,2018-04-18 22:05:00,0 days 00:37:00
AD2434,-I,2018-04-25 20:10:00,2018-04-25 20:52:00,2018-04-25 22:23:00,2018-04-26 05:11:00,0 days 00:48:00
AD5257,-M,2018-04-25 20:10:00,2018-04-25 23:11:00,2018-04-26 00:56:00,2018-04-26 05:11:00,0 days 02:08:00
AD4409,-I,2018-04-28 08:30:00,2018-04-28 09:05:00,2018-04-28 10:12:00,2018-04-28 15:52:00,0 days 01:17:00
AD4008,-M,2018-04-28 08:30:00,2018-04-28 11:29:00,2018-04-28 13:12:00,2018-04-28 15:52:00,0 days 00:39:00
AD4063,-I,2018-04-29 10:45:00,2018-04-29 11:32:00,2018-04-29 13:21:00,2018-04-29 16:07:00,0 days 00:33:00
AD4361,-I,2018-05-01 23:55:00,2018-05-02 00:46:00,2018-05-02 01:39:00,2018-05-02 08:59:00,0 days 00:46:00
AD4203,-M,2018-05-01 23:55:00,2018-05-02 02:25:00,2018-05-02 03:24:00,2018-05-02 08:59:00,0 days 00:38:00
AD9126,-M,2018-05-01 23:55:00,2018-05-02 04:02:00,2018-05-02 05:41:00,2018-05-02 08:59:00,0 days 01:40:00
AD5703,-I,2018-05-03 06:20:00,2018-05-03 06:55:00,2018-05-03 08:31:00,2018-05-03 13:56:00,0 days 00:51:00
AD4031,-M,2018-05-03 06:20:00,2018-05-03 09:22:00,2018-05-03 11:19:00,2018-05-03 13:56:00,0 days 00:24:00
AD2498,-I,2018-05-10 01:05:00,2018-05-10 02:08:00,2018-05-10 04:56:00,2018-05-10 09:23:00,0 days 00:39:00
AD2500,-I,2018-05-11 01:50:00,2018-05-11 02:36:00,2018-05-11 05:03:00,2018-05-11 09:03:00,0 days 00:44:00
AD2576,-I,2018-05-25 19:20:00,2018-05-25 20:06:00,2018-05-25 22:31:00,2018-05-26 04:02:00,0 days 00:39:00
AD2577,-M,2018-05-25 19:20:00,2018-05-25 23:10:00,2018-05-26 01:56:00,2018-05-26 04:02:00,0 days 00:39:00
AD4154,-I,2018-05-26 20:55:00,2018-05-26 21:32:00,2018-05-26 22:41:00,2018-05-27 01:27:00,0 days 01:04:00
AD5728,-I,2018-05-27 16:55:00,2018-05-27 17:27:00,2018-05-27 18:40:00,2018-05-28 00:54:00,0 days 00:26:00
AD5749,-M,2018-05-27 16:55:00,2018-05-27 19:06:00,2018-05-27 20:08:00,2018-05-28 00:54:00,0 days 00:35:00
AD5749,-M,2018-05-27 16:55:00,2018-05-27 20:43:00,2018-05-27 22:21:00,2018-05-28 00:54:00,0 days 00:38:00
AD5728,-I,2018-05-28 16:55:00,2018-05-28 17:29:00,2018-05-28 18:41:00,2018-05-29 00:59:00,0 days 00:27:00
AD5749,-M,2018-05-28 16:55:00,2018-05-28 19:08:00,2018-05-28 20:07:00,2018-05-29 00:59:00,0 days 00:37:00
AD5749,-M,2018-05-28 16:55:00,2018-05-28 20:44:00,2018-05-28 22:14:00,2018-05-29 00:59:00,0 days 00:31:00
AD4148,-I,2018-05-29 17:40:00,2018-05-29 18:15:00,2018-05-29 19:37:00,2018-05-30 00:23:00,0 days 00:41:00
AD4149,-M,2018-05-29 17:40:00,2018-05-29 20:18:00,2018-05-29 21:42:00,2018-05-30 00:23:00,0 days 00:33:00
AD2498,-I,2018-06-01 01:25:00,2018-06-01 02:20:00,2018-06-01 05:05:00,2018-06-01 10:51:00,0 days 00:45:00
AD2499,-M,2018-06-01 01:25:00,2018-06-01 05:50:00,2018-06-01 08:52:00,2018-06-01 10:51:00,0 days 00:33:00
AD5282,-I,2018-06-08 01:15:00,2018-06-08 02:09:00,2018-06-08 05:11:00,2018-06-08 09:16:00,0 days 00:39:00
AD4450,-I,2018-06-09 10:20:00,2018-06-09 11:37:00,2018-06-09 13:48:00,2018-06-09 17:23:00,0 days 00:37:00
AD4166,-I,2018-06-21 13:00:00,2018-06-21 13:47:00,2018-06-21 15:46:00,2018-06-21 23:41:00,0 days 01:49:00
AD4166,-M,2018-06-21 13:00:00,2018-06-21 17:35:00,2018-06-21 18:31:00,2018-06-21 23:41:00,0 days 00:40:00
AD4167,-M,2018-06-21 13:00:00,2018-06-21 19:11:00,2018-06-21 20:05:00,2018-06-21 23:41:00,0 days 00:43:00
AD5168,-I,2018-07-05 17:10:00,2018-07-05 17:54:00,2018-07-05 19:39:00,2018-07-06 02:09:00,0 days 00:43:00
AD5169,-M,2018-07-05 17:10:00,2018-07-05 20:22:00,2018-07-05 21:40:00,2018-07-06 02:09:00,0 days 00:50:00
AD4260,-M,2018-07-05 17:10:00,2018-07-05 22:30:00,2018-07-05 23:30:00,2018-07-06 02:09:00,0 days 00:40:00
AD5016,-M,2018-07-06 19:00:00,2018-07-06 21:50:00,2018-07-06 22:50:00,2018-07-07 02:31:00,0 days 01:58:00
AD4195,-I,2018-07-19 08:10:00,2018-07-19 09:10:00,2018-07-19 10:12:00,2018-07-19 16:54:00,0 days 00:37:00
AD6962,-M,2018-07-19 08:10:00,2018-07-19 10:49:00,2018-07-19 12:08:00,2018-07-19 16:54:00,0 days 00:34:00
AD4082,-M,2018-07-19 08:10:00,2018-07-19 12:42:00,2018-07-19 14:19:00,2018-07-19 16:54:00,0 days 00:33:00
AD5210,-I,2018-07-20 17:45:00,2018-07-20 18:53:00,2018-07-20 21:22:00,2018-07-21 03:17:00,0 days 00:56:00
AD5211,-M,2018-07-20 17:45:00,2018-07-20 22:18:00,2018-07-21 00:43:00,2018-07-21 03:17:00,0 days 00:50:00
AD6418,-I,2018-07-21 15:50:00,2018-07-21 16:23:00,2018-07-21 17:41:00,2018-07-21 22:58:00,0 days 00:38:00
AD4489,-M,2018-07-21 15:50:00,2018-07-21 18:19:00,2018-07-21 19:47:00,2018-07-21 22:58:00,0 days 01:37:00
AD4179,-I,2018-08-10 15:35:00,2018-08-10 16:29:00,2018-08-10 17:59:00,2018-08-11 01:28:00,0 days 01:22:00
AD4493,-M,2018-08-10 15:35:00,2018-08-10 19:21:00,2018-08-10 21:03:00,2018-08-11 01:28:00,0 days 00:47:00
AD5016,-M,2018-08-10 15:35:00,2018-08-10 21:50:00,2018-08-10 23:03:00,2018-08-11 01:28:00,0 days 00:33:00
AD4016,-I,2018-08-17 17:40:00,2018-08-17 18:39:00,2018-08-17 19:40:00,2018-08-18 02:27:00,0 days 02:10:00
AD5052,-M,2018-08-17 17:40:00,2018-08-17 21:50:00,2018-08-17 23:48:00,2018-08-18 02:27:00,0 days 00:35:00
AD2611,-I,2018-08-19 17:45:00,2018-08-19 18:15:00,2018-08-19 19:43:00,2018-08-20 01:13:00,0 days 01:03:00
AD2866,-M,2018-08-19 17:45:00,2018-08-19 20:46:00,2018-08-19 22:23:00,2018-08-20 01:13:00,0 days 00:46:00
AD5500,-I,2018-09-01 13:10:00,2018-09-01 14:50:00,2018-09-01 18:15:00,2018-09-01 23:12:00,0 days 00:28:00
AD5500,-M,2018-09-01 13:10:00,2018-09-01 18:43:00,2018-09-01 19:23:00,2018-09-01 23:12:00,0 days 00:25:00
AD2688,-I,2018-09-03 00:40:00,2018-09-03 01:30:00,2018-09-03 04:25:00,2018-09-03 09:08:00,0 days 00:29:00
AD2688,-M,2018-09-03 00:40:00,2018-09-03 04:54:00,2018-09-03 05:40:00,2018-09-03 09:08:00,0 days 00:28:00
AD5215,-I,2018-09-27 08:35:00,2018-09-27 09:06:00,2018-09-27 10:15:00,2018-09-27 19:04:00,0 days 01:18:00
AD2837,-M,2018-09-27 08:35:00,2018-09-27 11:33:00,2018-09-27 13:41:00,2018-09-27 19:04:00,0 days 01:07:00
AD5187,-M,2018-09-27 08:35:00,2018-09-27 14:48:00,2018-09-27 16:25:00,2018-09-27 19:04:00,0 days 00:22:00
AD2520,-I,2018-09-28 08:20:00,2018-09-28 08:54:00,2018-09-28 09:23:00,2018-09-28 17:32:00,0 days 00:56:00
AD2520,-M,2018-09-28 08:20:00,2018-09-28 10:19:00,2018-09-28 11:42:00,2018-09-28 17:32:00,0 days 00:27:00
AD4177,-M,2018-09-28 08:20:00,2018-09-28 12:09:00,2018-09-28 13:14:00,2018-09-28 17:32:00,0 days 00:59:00
AD2543,-M,2018-09-28 08:20:00,2018-09-28 14:13:00,2018-09-28 15:17:00,2018-09-28 17:32:00,0 days 00:35:00
AD4346,-I,2018-11-16 19:25:00,2018-11-16 20:07:00,2018-11-16 21:09:00,2018-11-17 02:28:00,0 days 00:27:00
AD4347,-M,2018-11-16 19:25:00,2018-11-16 21:36:00,2018-11-16 22:48:00,2018-11-17 02:28:00,0 days 01:38:00
AD2690,-I,2018-11-18 08:05:00,2018-11-18 08:49:00,2018-11-18 10:19:00,2018-11-18 17:48:00,0 days 00:35:00
AD4284,-M,2018-11-18 08:05:00,2018-11-18 10:54:00,2018-11-18 12:00:00,2018-11-18 17:48:00,0 days 01:40:00
AD6936,-M,2018-11-18 08:05:00,2018-11-18 13:40:00,2018-11-18 14:46:00,2018-11-18 17:48:00,0 days 00:39:00
AD2520,-I,2018-11-19 07:20:00,2018-11-19 07:55:00,2018-11-19 09:17:00,2018-11-19 11:56:00,0 days 00:55:00
AD4293,-I,2018-11-30 09:35:00,2018-11-30 10:24:00,2018-11-30 12:27:00,2018-11-30 19:52:00,0 days 02:04:00
AD5226,-M,2018-11-30 09:35:00,2018-11-30 14:31:00,2018-11-30 15:28:00,2018-11-30 19:52:00,0 days 00:25:00
AD5227,-M,2018-11-30 09:35:00,2018-11-30 15:53:00,2018-11-30 16:47:00,2018-11-30 19:52:00,0 days 00:29:00
AD4163,-I,2018-12-07 14:40:00,2018-12-07 15:27:00,2018-12-07 16:28:00,2018-12-07 20:54:00,0 days 00:43:00
AD6419,-M,2018-12-07 14:40:00,2018-12-07 17:11:00,2018-12-07 18:52:00,2018-12-07 20:54:00,0 days 00:35:00
AD2498,-I,2018-12-14 23:55:00,2018-12-15 00:49:00,2018-12-15 03:53:00,2018-12-15 07:48:00,0 days 00:37:00
AD9128,-I,2018-12-23 00:10:00,2018-12-23 01:19:00,2018-12-23 04:04:00,2018-12-23 08:05:00,0 days 00:30:00
AD2500,-I,2018-12-26 00:50:00,2018-12-26 01:43:00,2018-12-26 04:21:00,2018-12-26 08:00:00,0 days 00:32:00
AD4079,-I,2018-12-28 10:00:00,2018-12-28 10:52:00,2018-12-28 11:47:00,2018-12-28 18:00:00,0 days 01:45:00
AD6956,-M,2018-12-28 10:00:00,2018-12-28 13:32:00,2018-12-28 14:34:00,2018-12-28 18:00:00,0 days 00:55:00
AD4175,-I,2019-01-03 18:15:00,2019-01-03 19:06:00,2019-01-03 21:03:00,2019-01-04 02:47:00,0 days 01:31:00
AD4490,-M,2019-01-03 18:15:00,2019-01-03 22:34:00,2019-01-04 00:46:00,2019-01-04 02:47:00,0 days 00:37:00
AD2899,-I,2019-01-05 02:25:00,2019-01-05 02:59:00,2019-01-05 03:59:00,2019-01-05 08:03:00,0 days 01:20:00
AD5215,-I,2019-01-09 07:30:00,2019-01-09 08:12:00,2019-01-09 09:43:00,2019-01-09 16:44:00,0 days 00:31:00
AD9058,-M,2019-01-09 07:30:00,2019-01-09 10:14:00,2019-01-09 11:47:00,2019-01-09 16:44:00,0 days 00:30:00
AD9059,-M,2019-01-09 07:30:00,2019-01-09 12:17:00,2019-01-09 13:47:00,2019-01-09 16:44:00,0 days 01:19:00
AD5166,-I,2019-01-10 09:40:00,2019-01-10 10:21:00,2019-01-10 11:29:00,2019-01-10 17:49:00,0 days 00:42:00
AD6928,-M,2019-01-10 09:40:00,2019-01-10 12:11:00,2019-01-10 13:27:00,2019-01-10 17:49:00,0 days 02:06:00
AD2520,-I,2019-01-11 07:20:00,2019-01-11 07:57:00,2019-01-11 09:14:00,2019-01-11 17:09:00,0 days 01:01:00
AD5166,-M,2019-01-11 07:20:00,2019-01-11 10:15:00,2019-01-11 11:24:00,2019-01-11 17:09:00,0 days 00:43:00
AD6928,-M,2019-01-11 07:20:00,2019-01-11 12:07:00,2019-01-11 13:13:00,2019-01-11 17:09:00,0 days 01:21:00
AD9096,-I,2019-01-12 06:00:00,2019-01-12 06:34:00,2019-01-12 08:13:00,2019-01-12 10:44:00,0 days 00:46:00
AD4490,-I,2019-01-17 21:35:00,2019-01-17 22:23:00,2019-01-18 00:16:00,2019-01-18 02:46:00,0 days 01:08:00
AD2899,-I,2019-01-19 02:25:00,2019-01-19 02:52:00,2019-01-19 03:48:00,2019-01-19 08:05:00,0 days 01:34:00
AD9106,-I,2019-02-02 00:35:00,2019-02-02 01:34:00,2019-02-02 04:54:00,2019-02-02 09:45:00,0 days 01:05:00
AD4018,-I,2019-02-07 19:55:00,2019-02-07 20:39:00,2019-02-07 21:35:00,2019-02-08 03:20:00,0 days 01:54:00
AD4316,-M,2019-02-07 19:55:00,2019-02-07 23:29:00,2019-02-08 00:40:00,2019-02-08 03:20:00,0 days 00:45:00
AD5189,-I,2019-02-09 07:20:00,2019-02-09 07:53:00,2019-02-09 09:13:00,2019-02-09 16:09:00,0 days 01:21:00
AD4000,-M,2019-02-09 07:20:00,2019-02-09 10:34:00,2019-02-09 11:39:00,2019-02-09 16:09:00,0 days 00:44:00
AD2590,-M,2019-02-09 07:20:00,2019-02-09 12:23:00,2019-02-09 13:26:00,2019-02-09 16:09:00,0 days 01:06:00
AD4269,-I,2019-02-14 19:35:00,2019-02-14 20:23:00,2019-02-14 21:28:00,2019-02-14 23:48:00,0 days 00:46:00
AD4043,-I,2019-02-28 15:30:00,2019-02-28 17:26:00,2019-02-28 17:39:00,2019-02-28 23:46:00,0 days 01:00:00
