Activity,Id_Leg,Checkin,Checkout,Jornada
AD2844,-IF,2020-03-12 05:15:00,2020-03-12 08:07:00,0 days 03:22:00
DOP,-IF,2020-04-01 11:25:00,2020-04-01 23:59:00,0 days 13:04:00
DOP,-IF,2020-04-02 00:00:00,2020-04-02 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-03 00:00:00,2020-04-03 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-04 00:00:00,2020-04-04 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-05 00:00:00,2020-04-05 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-06 00:00:00,2020-04-06 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-07 00:00:00,2020-04-07 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-08 00:00:00,2020-04-08 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-09 00:00:00,2020-04-09 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-10 00:00:00,2020-04-10 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-11 00:00:00,2020-04-11 23:59:00,1 days 00:29:00
DOP,-IF,2020-04-12 00:00:00,2020-04-12 23:59:00,1 days 00:29:00
F,-IF,2020-05-01 00:00:00,2020-05-02 00:00:00,1 days 00:30:00
F,-IF,2020-05-02 00:00:00,2020-05-03 00:00:00,1 days 00:30:00
F,-IF,2020-05-03 00:00:00,2020-05-04 00:00:00,1 days 00:30:00
F,-IF,2020-05-04 00:00:00,2020-05-05 00:00:00,1 days 00:30:00
F,-IF,2020-05-05 00:00:00,2020-05-06 00:00:00,1 days 00:30:00
F,-IF,2020-05-06 00:00:00,2020-05-07 00:00:00,1 days 00:30:00
F,-IF,2020-05-07 00:00:00,2020-05-08 00:00:00,1 days 00:30:00
F,-IF,2020-05-08 00:00:00,2020-05-09 00:00:00,1 days 00:30:00
F,-IF,2020-05-09 00:00:00,2020-05-10 00:00:00,1 days 00:30:00
F,-IF,2020-05-10 00:00:00,2020-05-11 00:00:00,1 days 00:30:00
F,-IF,2020-05-11 00:00:00,2020-05-12 00:00:00,1 days 00:30:00
F,-IF,2020-06-01 00:00:00,2020-06-02 00:00:00,1 days 00:30:00
F,-IF,2020-06-02 00:00:00,2020-06-03 00:00:00,1 days 00:30:00
F,-IF,2020-06-03 00:00:00,2020-06-04 00:00:00,1 days 00:30:00
F,-IF,2020-06-04 00:00:00,2020-06-05 00:00:00,1 days 00:30:00
F,-IF,2020-06-05 00:00:00,2020-06-06 00:00:00,1 days 00:30:00
F,-IF,2020-06-06 00:00:00,2020-06-07 00:00:00,1 days 00:30:00
F,-IF,2020-06-07 00:00:00,2020-06-08 00:00:00,1 days 00:30:00
F,-IF,2020-06-08 00:00:00,2020-06-09 00:00:00,1 days 00:30:00
SNA,-IF,2020-06-09 00:00:00,2020-06-10 00:00:00,1 days 00:30:00
F,-IF,2020-06-10 00:00:00,2020-06-11 00:00:00,1 days 00:30:00
F,-IF,2020-06-11 00:00:00,2020-06-12 00:00:00,1 days 00:30:00
FR,-IF,2020-07-02 00:00:00,2020-07-03 00:00:00,1 days 00:30:00
FR,-IF,2020-07-03 00:00:00,2020-07-04 00:00:00,1 days 00:30:00
F,-IF,2020-07-04 00:00:00,2020-07-05 00:00:00,1 days 00:30:00
F,-IF,2020-07-05 00:00:00,2020-07-06 00:00:00,1 days 00:30:00
F,-IF,2020-07-06 00:00:00,2020-07-07 00:00:00,1 days 00:30:00
F,-IF,2020-07-07 00:00:00,2020-07-08 00:00:00,1 days 00:30:00
F,-IF,2020-07-08 00:00:00,2020-07-09 00:00:00,1 days 00:30:00
F,-IF,2020-07-09 00:00:00,2020-07-10 00:00:00,1 days 00:30:00
F,-IF,2020-07-10 00:00:00,2020-07-11 00:00:00,1 days 00:30:00
F,-IF,2020-07-11 00:00:00,2020-07-12 00:00:00,1 days 00:30:00
F,-IF,2020-08-01 00:00:00,2020-08-02 00:00:00,1 days 00:30:00
F,-IF,2020-08-02 00:00:00,2020-08-03 00:00:00,1 days 00:30:00
F,-IF,2020-08-03 00:00:00,2020-08-04 00:00:00,1 days 00:30:00
SNA,-IF,2020-08-04 00:00:00,2020-08-05 00:00:00,1 days 00:30:00
F,-IF,2020-08-05 00:00:00,2020-08-06 00:00:00,1 days 00:30:00
F,-IF,2020-08-06 00:00:00,2020-08-07 00:00:00,1 days 00:30:00
F,-IF,2020-08-07 00:00:00,2020-08-08 00:00:00,1 days 00:30:00
F,-IF,2020-08-08 00:00:00,2020-08-09 00:00:00,1 days 00:30:00
F,-IF,2020-08-09 00:00:00,2020-08-10 00:00:00,1 days 00:30:00
F,-IF,2020-08-10 00:00:00,2020-08-11 00:00:00,1 days 00:30:00
F,-IF,2020-08-11 00:00:00,2020-08-12 00:00:00,1 days 00:30:00
FR,-IF,2020-09-01 12:00:00,2020-09-02 12:00:00,1 days 00:30:00
R12,-IF,2020-09-02 12:15:00,2020-09-02 15:15:00,0 days 03:30:00
AD4370,-I,2020-09-03 08:16:00,2020-09-03 17:28:00,0 days 00:00:00
AD4572,-M,2020-09-03 08:16:00,2020-09-03 17:28:00,0 days 00:00:00
AD4573,-F,2020-09-03 08:16:00,2020-09-03 17:28:00,0 days 09:42:00
AD4568,-I,2020-09-04 08:35:00,2020-09-04 17:23:00,0 days 00:00:00
AD4330,-F,2020-09-04 08:35:00,2020-09-04 17:23:00,0 days 09:18:00
AD4526,-I,2020-09-05 12:15:00,2020-09-05 20:58:00,0 days 00:00:00
AD4527,-M,2020-09-05 12:15:00,2020-09-05 20:58:00,0 days 00:00:00
AD4333,-F,2020-09-05 12:15:00,2020-09-05 20:58:00,0 days 09:13:00
FR,-IF,2020-09-06 10:00:00,2020-09-07 10:00:00,1 days 00:30:00
FR,-IF,2020-09-07 10:00:00,2020-09-08 10:00:00,1 days 00:30:00
AD4698,-I,2020-09-09 07:40:00,2020-09-09 18:21:00,0 days 00:00:00
AD2005,-M,2020-09-09 07:40:00,2020-09-09 18:21:00,0 days 00:00:00
AD2006,-F,2020-09-09 07:40:00,2020-09-09 18:21:00,0 days 11:11:00
FR,-IF,2020-09-11 00:00:00,2020-09-12 00:00:00,1 days 00:30:00
FER,-IF,2020-10-01 00:00:00,2020-10-02 00:00:00,1 days 00:30:00
FER,-IF,2020-10-02 00:00:00,2020-10-03 00:00:00,1 days 00:30:00
FER,-IF,2020-10-03 00:00:00,2020-10-04 00:00:00,1 days 00:30:00
FER,-IF,2020-10-04 00:00:00,2020-10-05 00:00:00,1 days 00:30:00
FER,-IF,2020-10-05 00:00:00,2020-10-06 00:00:00,1 days 00:30:00
FER,-IF,2020-10-06 00:00:00,2020-10-07 00:00:00,1 days 00:30:00
FER,-IF,2020-10-07 00:00:00,2020-10-08 00:00:00,1 days 00:30:00
FER,-IF,2020-10-08 00:00:00,2020-10-09 00:00:00,1 days 00:30:00
FER,-IF,2020-10-09 00:00:00,2020-10-10 00:00:00,1 days 00:30:00
FER,-IF,2020-10-10 00:00:00,2020-10-11 00:00:00,1 days 00:30:00
FER,-IF,2020-10-11 00:00:00,2020-10-12 00:00:00,1 days 00:30:00
FR,-IF,2020-11-01 00:00:00,2020-11-02 00:00:00,1 days 00:30:00
FR,-IF,2020-11-02 00:00:00,2020-11-03 00:00:00,1 days 00:30:00
AD4079,-I,2020-11-03 08:05:00,2020-11-03 15:06:00,0 days 00:00:00
AD4562,-F,2020-11-03 08:05:00,2020-11-03 15:06:00,0 days 07:31:00
AD4161,-I,2020-11-04 05:20:00,2020-11-04 12:17:00,0 days 00:00:00
AD4329,-F,2020-11-04 05:20:00,2020-11-04 12:17:00,0 days 07:27:00
CMA,-IF,2020-11-05 04:00:00,2020-11-05 13:00:00,0 days 09:30:00
AD9242,-I,2020-11-06 22:45:00,2020-11-07 06:48:00,0 days 00:00:00
AD9243,-F,2020-11-06 22:45:00,2020-11-07 06:48:00,0 days 08:33:00
FR,-IF,2020-11-07 19:30:00,2020-11-08 19:30:00,1 days 00:30:00
FR,-IF,2020-11-08 19:30:00,2020-11-09 19:30:00,1 days 00:30:00
AD4451,-I,2020-11-09 21:31:00,2020-11-10 04:04:00,0 days 00:00:00
AD4170,-F,2020-11-09 21:31:00,2020-11-10 04:04:00,0 days 07:03:00
AD4544,-IF,2020-11-11 06:01:00,2020-11-11 08:35:00,0 days 03:04:00
AD4545,-I,2020-11-11 21:30:00,2020-11-12 07:10:00,0 days 00:00:00
AD4169,-M,2020-11-11 21:30:00,2020-11-12 07:10:00,0 days 00:00:00
AD4383,-F,2020-11-11 21:30:00,2020-11-12 07:10:00,0 days 10:10:00
F,-IF,2020-12-01 00:45:00,2020-12-02 00:45:00,1 days 00:30:00
F,-IF,2020-12-02 00:45:00,2020-12-03 00:45:00,1 days 00:30:00
F,-IF,2020-12-03 00:45:00,2020-12-04 00:45:00,1 days 00:30:00
F,-IF,2020-12-04 00:45:00,2020-12-05 00:45:00,1 days 00:30:00
F,-IF,2020-12-05 00:45:00,2020-12-06 00:45:00,1 days 00:30:00
R16,-IF,2020-12-06 16:00:00,2020-12-06 19:00:00,0 days 03:30:00
P12,-IF,2020-12-07 12:00:00,2020-12-07 23:45:00,0 days 12:15:00
FR,-IF,2020-12-08 11:45:00,2020-12-09 11:45:00,1 days 00:30:00
PP1,-IF,2020-12-10 08:10:00,2020-12-10 12:10:00,0 days 04:30:00
PP1,-IF,2020-12-10 13:10:00,2020-12-10 17:10:00,0 days 04:30:00
PPS,-IF,2020-12-10 17:10:00,2020-12-10 18:40:00,0 days 02:00:00
FR,-IF,2020-12-11 06:40:00,2020-12-12 06:40:00,1 days 00:30:00
FR,-IF,2021-01-01 10:00:00,2021-01-02 10:00:00,1 days 00:30:00
FP,-IF,2021-01-02 10:00:00,2021-01-03 10:00:00,1 days 00:30:00
FR,-IF,2021-01-03 10:00:00,2021-01-04 10:00:00,1 days 00:30:00
FR,-IF,2021-01-04 10:00:00,2021-01-05 10:00:00,1 days 00:30:00
SNA,-IF,2021-01-06 00:00:00,2021-01-07 00:00:00,1 days 00:30:00
AD9286,-IF,2021-01-07 08:05:00,2021-01-07 11:45:00,0 days 04:10:00
AD9066,-I,2021-01-08 01:20:00,2021-01-08 06:38:00,0 days 00:00:00
AD9067,-F,2021-01-08 01:20:00,2021-01-08 06:38:00,0 days 05:48:00
AD4623,-I,2021-01-09 05:20:00,2021-01-09 12:40:00,0 days 00:00:00
AD4568,-F,2021-01-09 05:20:00,2021-01-09 12:40:00,0 days 07:50:00
FR,-IF,2021-01-10 01:25:00,2021-01-11 01:25:00,1 days 00:30:00
FR,-IF,2021-01-11 01:25:00,2021-01-12 01:25:00,1 days 00:30:00
SNA,-IF,2021-02-02 00:00:00,2021-02-03 00:00:00,1 days 00:30:00
SFX,-IF,2021-02-03 11:15:00,2021-02-03 15:15:00,0 days 04:30:00
SFX,-IF,2021-02-04 11:15:00,2021-02-04 15:15:00,0 days 04:30:00
SFX,-IF,2021-02-05 11:15:00,2021-02-05 15:15:00,0 days 04:30:00
FR,-IF,2021-02-06 03:45:00,2021-02-07 03:45:00,1 days 00:30:00
FR,-IF,2021-02-07 03:45:00,2021-02-08 03:45:00,1 days 00:30:00
AD4995,-I,2021-02-08 22:55:00,2021-02-09 05:22:00,0 days 00:00:00
AD4361,-F,2021-02-08 22:55:00,2021-02-09 05:22:00,0 days 06:57:00
SNA,-IF,2021-02-10 00:00:00,2021-02-11 00:00:00,1 days 00:30:00
FR,-IF,2021-02-11 00:00:00,2021-02-12 00:00:00,1 days 00:30:00
AD4332,-IF,2021-03-01 17:25:00,2021-03-01 21:38:00,0 days 04:43:00
AD4438,-I,2021-03-02 12:30:00,2021-03-02 21:25:00,0 days 00:00:00
AD4439,-M,2021-03-02 12:30:00,2021-03-02 21:25:00,0 days 00:00:00
AD4519,-F,2021-03-02 12:30:00,2021-03-02 21:25:00,0 days 09:25:00
AD4620,-I,2021-03-03 17:00:00,2021-03-03 23:50:00,0 days 00:00:00
AD4429,-F,2021-03-03 17:00:00,2021-03-03 23:50:00,0 days 07:20:00
AD4565,-IF,2021-03-04 14:25:00,2021-03-04 16:55:00,0 days 03:00:00
AD4564,-I,2021-03-05 11:45:00,2021-03-05 21:15:00,0 days 00:00:00
AD4565,-M,2021-03-05 11:45:00,2021-03-05 21:15:00,0 days 00:00:00
AD4333,-F,2021-03-05 11:45:00,2021-03-05 21:15:00,0 days 10:00:00
P12,-IF,2021-03-06 12:15:00,2021-03-06 20:00:00,0 days 08:15:00
FR,-IF,2021-03-07 08:00:00,2021-03-08 08:00:00,1 days 00:30:00
FR,-IF,2021-03-08 08:00:00,2021-03-09 08:00:00,1 days 00:30:00
SE,-IF,2021-03-09 08:30:00,2021-03-09 16:30:00,0 days 08:30:00
RES,-I,2021-03-10 06:30:00,2021-03-10 08:25:00,0 days 00:00:00
AD4028,-M,2021-03-10 06:30:00,2021-03-10 12:18:00,0 days 00:00:00
AD4483,-F,2021-03-10 06:30:00,2021-03-10 12:18:00,0 days 06:18:00
BUS,-I,2021-03-11 19:15:00,2021-03-11 21:15:00,0 days 00:00:00
AD4915,-F,2021-03-11 19:15:00,2021-03-12 00:40:00,0 days 05:55:00
R20,-IF,2021-04-01 20:00:00,2021-04-01 23:30:00,0 days 04:00:00
P14,-IF,2021-04-02 14:00:00,2021-04-02 22:00:00,0 days 08:30:00
FR,-IF,2021-04-03 10:00:00,2021-04-04 10:00:00,1 days 00:30:00
FR,-IF,2021-04-04 10:00:00,2021-04-05 10:00:00,1 days 00:30:00
SNA,-IF,2021-04-06 00:00:00,2021-04-07 00:00:00,1 days 00:30:00
FR,-IF,2021-04-07 00:00:00,2021-04-08 00:00:00,1 days 00:30:00
FR,-IF,2021-04-08 00:00:00,2021-04-09 00:00:00,1 days 00:30:00
FR,-IF,2021-04-09 00:00:00,2021-04-10 00:00:00,1 days 00:30:00
FR,-IF,2021-04-10 00:00:00,2021-04-11 00:00:00,1 days 00:30:00
FR,-IF,2021-04-11 00:00:00,2021-04-12 00:00:00,1 days 00:30:00
AD4543,-IF,2021-05-01 19:00:00,2021-05-01 21:25:00,0 days 02:55:00
FR,-IF,2021-05-02 10:15:00,2021-05-03 10:15:00,1 days 00:30:00
FR,-IF,2021-05-03 10:15:00,2021-05-04 10:15:00,1 days 00:30:00
CMA,-IF,2021-05-05 00:00:00,2021-05-06 00:00:00,1 days 00:30:00
FR,-IF,2021-05-06 00:00:00,2021-05-07 00:00:00,1 days 00:30:00
FR,-IF,2021-05-07 00:00:00,2021-05-08 00:00:00,1 days 00:30:00
FR,-IF,2021-05-10 05:15:00,2021-05-11 05:15:00,1 days 00:30:00
FJC24,-IF,2021-06-01 00:00:00,2021-06-02 00:00:00,1 days 00:30:00
LNR24,-IF,2021-06-02 00:00:00,2021-06-03 00:00:00,1 days 00:30:00
LNR24,-IF,2021-07-09 00:00:00,2021-07-10 00:00:00,1 days 00:30:00
LNR24,-IF,2021-07-10 00:00:00,2021-07-11 00:00:00,1 days 00:30:00
LNR24,-IF,2021-07-11 00:00:00,2021-07-12 00:00:00,1 days 00:30:00
F,-IF,2021-08-01 00:00:00,2021-08-02 00:00:00,1 days 00:30:00
EAD,-IF,2021-08-02 08:10:00,2021-08-02 10:10:00,0 days 02:30:00
EAD,-IF,2021-08-02 10:10:00,2021-08-02 11:10:00,0 days 01:30:00
EAD,-IF,2021-08-02 11:10:00,2021-08-02 12:10:00,0 days 01:30:00
EAD,-IF,2021-08-02 13:10:00,2021-08-02 15:10:00,0 days 02:30:00
EAD,-IF,2021-08-02 15:10:00,2021-08-02 16:10:00,0 days 01:30:00
EAD,-IF,2021-08-02 16:10:00,2021-08-02 18:10:00,0 days 02:30:00
AVS,-IF,2021-08-03 08:10:00,2021-08-03 09:00:00,0 days 01:20:00
AVS,-IF,2021-08-03 09:10:00,2021-08-03 10:00:00,0 days 01:20:00
AVS,-IF,2021-08-03 10:10:00,2021-08-03 11:00:00,0 days 01:20:00
AVS,-IF,2021-08-03 11:10:00,2021-08-03 12:00:00,0 days 01:20:00
AVS,-IF,2021-08-03 12:00:00,2021-08-03 12:10:00,0 days 00:40:00
GCI,-IF,2021-08-03 13:10:00,2021-08-03 17:10:00,0 days 04:30:00
EAD,-IF,2021-08-03 17:10:00,2021-08-03 18:10:00,0 days 01:30:00
EAD,-IF,2021-08-04 08:10:00,2021-08-04 17:10:00,0 days 09:30:00
EAD,-IF,2021-08-04 17:10:00,2021-08-04 18:10:00,0 days 01:30:00
EAD,-IF,2021-08-05 08:15:00,2021-08-05 09:45:00,0 days 02:00:00
EAD,-IF,2021-08-05 09:45:00,2021-08-05 12:15:00,0 days 03:00:00
EAD,-IF,2021-08-05 13:15:00,2021-08-05 14:15:00,0 days 01:30:00
EAD,-IF,2021-08-05 14:15:00,2021-08-05 17:10:00,0 days 03:25:00
EAD,-IF,2021-08-05 17:10:00,2021-08-05 18:00:00,0 days 01:20:00
EAD,-IF,2021-08-05 18:00:00,2021-08-05 18:15:00,0 days 00:45:00
EAD,-IF,2021-08-06 10:10:00,2021-08-06 12:10:00,0 days 02:30:00
EAD,-IF,2021-08-06 13:10:00,2021-08-06 16:05:00,0 days 03:25:00
EAD,-IF,2021-08-06 16:05:00,2021-08-06 16:55:00,0 days 01:20:00
EAD,-IF,2021-08-06 16:55:00,2021-08-06 17:10:00,0 days 00:45:00
F,-IF,2021-08-07 07:00:00,2021-08-08 07:00:00,1 days 00:30:00
F,-IF,2021-08-08 07:00:00,2021-08-09 07:00:00,1 days 00:30:00
PC3,-IF,2021-08-09 10:00:00,2021-08-09 11:00:00,0 days 01:30:00
SFX,-IF,2021-08-10 06:00:00,2021-08-10 10:00:00,0 days 04:30:00
SFX,-IF,2021-08-11 10:15:00,2021-08-11 14:15:00,0 days 04:30:00
SFX,-IF,2021-08-12 10:15:00,2021-08-12 14:15:00,0 days 04:30:00
AD4047,-I,2021-09-02 05:28:00,2021-09-02 11:36:00,0 days 00:00:00
AD4431,-F,2021-09-02 05:28:00,2021-09-02 11:36:00,0 days 06:38:00
AD4508,-I,2021-09-03 07:27:00,2021-09-03 15:12:00,0 days 00:00:00
AD4761,-F,2021-09-03 07:27:00,2021-09-03 15:12:00,0 days 08:15:00
AD4080,-I,2021-09-04 04:30:00,2021-09-04 10:31:00,0 days 00:00:00
AD4590,-F,2021-09-04 04:30:00,2021-09-04 10:31:00,0 days 06:31:00
AD2483,-I,2021-09-05 04:20:00,2021-09-05 11:42:00,0 days 00:00:00
AD2491,-F,2021-09-05 04:20:00,2021-09-05 11:42:00,0 days 07:52:00
AD5041,-IF,2021-09-06 11:35:00,2021-09-06 15:39:00,0 days 04:34:00
FR,-IF,2021-09-07 04:30:00,2021-09-08 04:30:00,1 days 00:30:00
FR,-IF,2021-09-08 04:30:00,2021-09-09 04:30:00,1 days 00:30:00
FR,-IF,2021-09-09 04:30:00,2021-09-10 04:30:00,1 days 00:30:00
AD4866,-I,2021-09-10 05:10:00,2021-09-10 13:11:00,0 days 00:00:00
AD4867,-M,2021-09-10 05:10:00,2021-09-10 13:11:00,0 days 00:00:00
AD4846,-F,2021-09-10 05:10:00,2021-09-10 13:11:00,0 days 08:31:00
AD2608,-I,2021-09-11 05:25:00,2021-09-11 11:12:00,0 days 00:00:00
AD4769,-F,2021-09-11 05:25:00,2021-09-11 11:12:00,0 days 06:17:00
FR,-IF,2021-10-01 11:35:00,2021-10-02 11:35:00,1 days 00:30:00
AD4840,-I,2021-10-03 07:15:00,2021-10-03 16:42:00,0 days 00:00:00
AD4218,-M,2021-10-03 07:15:00,2021-10-03 16:42:00,0 days 00:00:00
AD4463,-F,2021-10-03 07:15:00,2021-10-03 16:42:00,0 days 09:57:00
AD4230,-I,2021-10-04 12:10:00,2021-10-04 16:22:00,0 days 00:00:00
AD4231,-F,2021-10-04 12:10:00,2021-10-04 16:22:00,0 days 04:42:00
AD4460,-I,2021-10-05 12:25:00,2021-10-05 22:07:00,0 days 00:00:00
AD4210,-M,2021-10-05 12:25:00,2021-10-05 22:07:00,0 days 00:00:00
AD4580,-M,2021-10-05 12:25:00,2021-10-05 22:07:00,0 days 00:00:00
AD4545,-F,2021-10-05 12:25:00,2021-10-05 22:07:00,0 days 10:12:00
AD2654,-I,2021-10-06 22:00:00,2021-10-07 07:30:00,0 days 00:00:00
AD2649,-F,2021-10-06 22:00:00,2021-10-07 07:30:00,0 days 10:00:00
AD4160,-I,2021-10-07 22:00:00,2021-10-08 05:40:00,0 days 00:00:00
