Activity,Id_Leg,Checkin,Checkout,Repouso
AD4064,-F,2019-08-02 07:40:00,2019-08-02 12:10:00,0 days 15:50:00
PLT,-IF,2019-08-03 04:00:00,2019-08-03 04:01:00,0 days 01:19:00
AD4403,-F,2019-08-03 05:20:00,2019-08-03 10:39:00,0 days 13:21:00
FR,-IF,2019-08-04 00:00:00,2019-08-05 00:00:00,0 days 00:00:00
SNA,-IF,2019-08-05 00:00:00,2019-08-06 00:00:00,0 days 00:00:00
FR,-IF,2019-08-06 00:00:00,2019-08-07 00:00:00,0 days 00:00:00
FR,-IF,2019-08-07 00:00:00,2019-08-08 00:00:00,0 days 00:00:00
SNA,-IF,2019-08-08 00:00:00,2019-08-09 00:00:00,0 days 22:00:00
AD2891,-F,2019-08-09 22:00:00,2019-08-10 06:05:00,0 days 17:55:00
FR,-IF,2019-08-11 00:00:00,2019-08-12 00:00:00,0 days 00:00:00
FER,-IF,2019-08-31 00:00:00,2019-09-01 00:00:00,0 days 00:00:00
FER,-IF,2019-09-01 00:00:00,2019-09-02 00:00:00,0 days 00:00:00
FER,-IF,2019-09-02 00:00:00,2019-09-03 00:00:00,0 days 00:00:00
FER,-IF,2019-09-03 00:00:00,2019-09-04 00:00:00,0 days 00:00:00
FER,-IF,2019-09-04 00:00:00,2019-09-05 00:00:00,0 days 00:00:00
FER,-IF,2019-09-05 00:00:00,2019-09-06 00:00:00,0 days 00:00:00
FER,-IF,2019-09-06 00:00:00,2019-09-07 00:00:00,0 days 00:00:00
FER,-IF,2019-09-07 00:00:00,2019-09-08 00:00:00,0 days 00:00:00
FER,-IF,2019-09-08 00:00:00,2019-09-09 00:00:00,0 days 00:00:00
FER,-IF,2019-09-09 00:00:00,2019-09-10 00:00:00,0 days 00:00:00
FER,-IF,2019-09-10 00:00:00,2019-09-11 00:00:00,0 days 00:00:00
FER,-IF,2019-09-11 00:00:00,2019-09-12 00:00:00,0 days 00:00:00
FR,-IF,2019-09-30 06:00:00,2019-10-01 06:00:00,0 days 00:00:00
FR,-IF,2019-10-01 06:00:00,2019-10-02 06:00:00,0 days 02:15:00
PP2,-IF,2019-10-02 08:15:00,2019-10-02 10:15:00,0 days 00:00:00
PP2,-IF,2019-10-02 10:15:00,2019-10-02 12:15:00,0 days 01:00:00
PP2,-IF,2019-10-02 13:15:00,2019-10-02 15:15:00,0 days 00:00:00
PP2,-IF,2019-10-02 15:15:00,2019-10-02 17:15:00,0 days 00:00:00
DGR,-IF,2019-10-02 17:15:00,2019-10-02 18:35:00,0 days 13:40:00
CRM,-IF,2019-10-03 08:15:00,2019-10-03 17:15:00,0 days 12:00:00
FR,-IF,2019-10-04 05:15:00,2019-10-05 05:15:00,0 days 08:05:00
AD2645,-F,2019-10-05 13:20:00,2019-10-05 22:42:00,0 days 12:43:00
AD4877,-F,2019-10-06 11:25:00,2019-10-06 21:06:00,0 days 16:39:00
AD5024,-F,2019-10-07 13:45:00,2019-10-07 22:17:00,0 days 14:58:00
AD2953,-F,2019-10-08 13:15:00,2019-10-08 22:27:00,0 days 12:58:00
REX,-IF,2019-10-09 11:25:00,2019-10-09 14:25:00,0 days 15:05:00
AD5798,-IF,2019-10-10 05:30:00,2019-10-10 08:10:00,1 days 02:20:00
FR,-IF,2019-10-11 10:30:00,2019-10-12 10:30:00,0 days 00:00:00
FR,-IF,2019-10-31 12:30:00,2019-11-01 12:30:00,0 days 00:30:00
AD4877,-F,2019-11-01 13:00:00,2019-11-01 21:46:00,0 days 15:34:00
AD4869,-F,2019-11-02 13:20:00,2019-11-02 20:50:00,0 days 14:40:00
AD4869,-F,2019-11-03 11:30:00,2019-11-03 20:53:00,0 days 17:27:00
AD4316,-F,2019-11-04 14:20:00,2019-11-04 23:20:00,1 days 00:40:00
SNA,-IF,2019-11-06 00:00:00,2019-11-07 00:00:00,0 days 01:30:00
FR,-IF,2019-11-07 01:30:00,2019-11-08 01:30:00,0 days 15:30:00
AD4359,-F,2019-11-08 17:00:00,2019-11-09 01:56:00,0 days 18:59:00
AD5435,-F,2019-11-09 20:55:00,2019-11-10 02:09:00,0 days 12:51:00
AD2772,-F,2019-11-10 15:00:00,2019-11-10 23:05:00,1 days 00:55:00
F,-IF,2019-11-30 07:00:00,2019-12-01 07:00:00,0 days 00:00:00
F,-IF,2019-12-01 07:00:00,2019-12-02 07:00:00,0 days 00:00:00
F,-IF,2019-12-02 07:00:00,2019-12-03 07:00:00,0 days 01:15:00
GS,-IF,2019-12-03 08:15:00,2019-12-03 17:15:00,0 days 13:45:00
F,-IF,2019-12-04 07:00:00,2019-12-05 07:00:00,0 days 00:00:00
F,-IF,2019-12-05 07:00:00,2019-12-06 07:00:00,0 days 04:15:00
APT,-IF,2019-12-06 11:15:00,2019-12-06 15:15:00,0 days 15:45:00
APT,-IF,2019-12-07 07:00:00,2019-12-07 11:00:00,0 days 20:00:00
APT,-IF,2019-12-08 07:00:00,2019-12-08 11:00:00,0 days 21:15:00
GS,-IF,2019-12-09 08:15:00,2019-12-09 17:15:00,0 days 13:15:00
F,-IF,2019-12-10 06:30:00,2019-12-11 06:30:00,0 days 00:00:00
F,-IF,2019-12-11 06:30:00,2019-12-12 06:30:00,0 days 11:15:00
F,-IF,2019-12-31 08:00:00,2020-01-01 08:00:00,0 days 00:00:00
F,-IF,2020-01-01 08:00:00,2020-01-02 08:00:00,0 days 00:00:00
F,-IF,2020-01-02 08:00:00,2020-01-03 08:00:00,0 days 00:00:00
F,-IF,2020-01-03 08:00:00,2020-01-04 08:00:00,0 days 05:30:00
SFX,-IF,2020-01-04 13:30:00,2020-01-04 17:30:00,1 days 04:30:00
SFX,-IF,2020-01-05 22:00:00,2020-01-06 02:00:00,0 days 15:45:00
SFX,-IF,2020-01-06 17:45:00,2020-01-06 21:45:00,0 days 15:45:00
SFX,-IF,2020-01-07 13:30:00,2020-01-07 17:30:00,0 days 13:00:00
F,-IF,2020-01-08 06:30:00,2020-01-09 06:30:00,0 days 00:00:00
F,-IF,2020-01-09 06:30:00,2020-01-10 06:30:00,0 days 00:00:00
F,-IF,2020-01-10 06:30:00,2020-01-11 06:30:00,0 days 05:00:00
BUS,-IF,2020-01-11 11:30:00,2020-01-11 13:30:00,0 days 01:40:00
SFX,-IF,2020-01-11 15:10:00,2020-01-11 19:10:00,0 days 14:20:00
BUS,-IF,2020-01-12 09:30:00,2020-01-12 11:30:00,0 days 02:00:00
FR,-IF,2020-01-31 23:59:00,2020-02-01 23:59:00,0 days 14:56:00
AD2432,-F,2020-02-02 14:55:00,2020-02-02 22:53:00,0 days 13:12:00
AD2883,-F,2020-02-03 12:05:00,2020-02-03 20:35:00,0 days 22:15:00
AD2432,-IF,2020-02-04 18:50:00,2020-02-05 02:40:00,0 days 23:20:00
AD5374,-F,2020-02-06 02:00:00,2020-02-06 12:50:00,0 days 12:45:00
FR,-IF,2020-02-07 01:35:00,2020-02-08 01:35:00,0 days 00:00:00
FR,-IF,2020-02-08 01:35:00,2020-02-09 01:35:00,0 days 00:00:00
FR,-IF,2020-02-09 01:35:00,2020-02-10 01:35:00,0 days 00:00:00
FR,-IF,2020-02-10 01:35:00,2020-02-11 01:35:00,0 days 00:00:00
FR,-IF,2020-02-11 01:35:00,2020-02-12 01:35:00,0 days 11:40:00
AD6943,-F,2020-02-29 19:00:00,2020-03-01 02:40:00,0 days 22:40:00
AD6407,-IF,2020-03-02 01:20:00,2020-03-02 07:20:00,0 days 16:40:00
FR,-IF,2020-03-03 00:00:00,2020-03-04 00:00:00,0 days 00:00:00
FR,-IF,2020-03-04 00:00:00,2020-03-05 00:00:00,0 days 07:25:00
AD5066,-IF,2020-03-05 07:25:00,2020-03-05 11:56:00,0 days 13:24:00
AD5280,-F,2020-03-06 01:20:00,2020-03-06 09:50:00,0 days 12:30:00
AD2891,-F,2020-03-06 22:20:00,2020-03-07 06:45:00,1 days 05:25:00
AD4227,-F,2020-03-08 12:10:00,2020-03-08 16:59:00,0 days 12:46:00
FR,-IF,2020-03-09 05:45:00,2020-03-10 05:45:00,0 days 00:00:00
FR,-IF,2020-03-10 05:45:00,2020-03-11 05:45:00,0 days 01:25:00
AD2444,-F,2020-03-11 07:10:00,2020-03-11 15:06:00,0 days 14:09:00
AD2844,-IF,2020-03-12 05:15:00,2020-03-12 08:07:00,0 days 13:58:00
FR,-IF,2020-03-31 11:25:00,2020-04-01 11:25:00,0 days 00:00:00
DOP,-IF,2020-04-01 11:25:00,2020-04-01 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-02 00:00:00,2020-04-02 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-03 00:00:00,2020-04-03 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-04 00:00:00,2020-04-04 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-05 00:00:00,2020-04-05 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-06 00:00:00,2020-04-06 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-07 00:00:00,2020-04-07 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-08 00:00:00,2020-04-08 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-09 00:00:00,2020-04-09 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-10 00:00:00,2020-04-10 23:59:00,0 days 00:01:00
DOP,-IF,2020-04-11 00:00:00,2020-04-11 23:59:00,0 days 00:01:00
F,-IF,2020-04-30 00:00:00,2020-05-01 00:00:00,0 days 00:00:00
F,-IF,2020-05-01 00:00:00,2020-05-02 00:00:00,0 days 00:00:00
F,-IF,2020-05-02 00:00:00,2020-05-03 00:00:00,0 days 00:00:00
F,-IF,2020-05-03 00:00:00,2020-05-04 00:00:00,0 days 00:00:00
F,-IF,2020-05-04 00:00:00,2020-05-05 00:00:00,0 days 00:00:00
F,-IF,2020-05-05 00:00:00,2020-05-06 00:00:00,0 days 00:00:00
F,-IF,2020-05-06 00:00:00,2020-05-07 00:00:00,0 days 00:00:00
F,-IF,2020-05-07 00:00:00,2020-05-08 00:00:00,0 days 00:00:00
F,-IF,2020-05-08 00:00:00,2020-05-09 00:00:00,0 days 00:00:00
F,-IF,2020-05-09 00:00:00,2020-05-10 00:00:00,0 days 00:00:00
F,-IF,2020-05-10 00:00:00,2020-05-11 00:00:00,0 days 00:00:00
F,-IF,2020-05-11 00:00:00,2020-05-12 00:00:00,0 days 00:00:00
F,-IF,2020-05-31 00:00:00,2020-06-01 00:00:00,0 days 00:00:00
F,-IF,2020-06-01 00:00:00,2020-06-02 00:00:00,0 days 00:00:00
F,-IF,2020-06-02 00:00:00,2020-06-03 00:00:00,0 days 00:00:00
F,-IF,2020-06-03 00:00:00,2020-06-04 00:00:00,0 days 00:00:00
F,-IF,2020-06-04 00:00:00,2020-06-05 00:00:00,0 days 00:00:00
F,-IF,2020-06-05 00:00:00,2020-06-06 00:00:00,0 days 00:00:00
F,-IF,2020-06-06 00:00:00,2020-06-07 00:00:00,0 days 00:00:00
F,-IF,2020-06-07 00:00:00,2020-06-08 00:00:00,0 days 00:00:00
F,-IF,2020-06-08 00:00:00,2020-06-09 00:00:00,0 days 00:00:00
SNA,-IF,2020-06-09 00:00:00,2020-06-10 00:00:00,0 days 00:00:00
F,-IF,2020-06-10 00:00:00,2020-06-11 00:00:00,0 days 00:00:00
F,-IF,2020-06-11 00:00:00,2020-06-12 00:00:00,0 days 00:00:00
FR,-IF,2020-06-30 00:00:00,2020-07-01 00:00:00,1 days 00:00:00
FR,-IF,2020-07-02 00:00:00,2020-07-03 00:00:00,0 days 00:00:00
FR,-IF,2020-07-03 00:00:00,2020-07-04 00:00:00,0 days 00:00:00
F,-IF,2020-07-04 00:00:00,2020-07-05 00:00:00,0 days 00:00:00
F,-IF,2020-07-05 00:00:00,2020-07-06 00:00:00,0 days 00:00:00
F,-IF,2020-07-06 00:00:00,2020-07-07 00:00:00,0 days 00:00:00
F,-IF,2020-07-07 00:00:00,2020-07-08 00:00:00,0 days 00:00:00
F,-IF,2020-07-08 00:00:00,2020-07-09 00:00:00,0 days 00:00:00
F,-IF,2020-07-09 00:00:00,2020-07-10 00:00:00,0 days 00:00:00
F,-IF,2020-07-10 00:00:00,2020-07-11 00:00:00,0 days 00:00:00
F,-IF,2020-07-11 00:00:00,2020-07-12 00:00:00,0 days 00:00:00
F,-IF,2020-07-31 00:00:00,2020-08-01 00:00:00,0 days 00:00:00
F,-IF,2020-08-01 00:00:00,2020-08-02 00:00:00,0 days 00:00:00
F,-IF,2020-08-02 00:00:00,2020-08-03 00:00:00,0 days 00:00:00
F,-IF,2020-08-03 00:00:00,2020-08-04 00:00:00,0 days 00:00:00
SNA,-IF,2020-08-04 00:00:00,2020-08-05 00:00:00,0 days 00:00:00
F,-IF,2020-08-05 00:00:00,2020-08-06 00:00:00,0 days 00:00:00
F,-IF,2020-08-06 00:00:00,2020-08-07 00:00:00,0 days 00:00:00
F,-IF,2020-08-07 00:00:00,2020-08-08 00:00:00,0 days 00:00:00
F,-IF,2020-08-08 00:00:00,2020-08-09 00:00:00,0 days 00:00:00
F,-IF,2020-08-09 00:00:00,2020-08-10 00:00:00,0 days 00:00:00
F,-IF,2020-08-10 00:00:00,2020-08-11 00:00:00,0 days 00:00:00
F,-IF,2020-08-11 00:00:00,2020-08-12 00:00:00,0 days 00:00:00
FR,-IF,2020-08-31 12:00:00,2020-09-01 12:00:00,0 days 00:00:00
FR,-IF,2020-09-01 12:00:00,2020-09-02 12:00:00,0 days 00:15:00
R12,-IF,2020-09-02 12:15:00,2020-09-02 15:15:00,0 days 17:01:00
AD4573,-F,2020-09-03 08:16:00,2020-09-03 17:28:00,0 days 15:07:00
AD4330,-F,2020-09-04 08:35:00,2020-09-04 17:23:00,0 days 18:52:00
AD4333,-F,2020-09-05 12:15:00,2020-09-05 20:58:00,0 days 13:02:00
FR,-IF,2020-09-06 10:00:00,2020-09-07 10:00:00,0 days 00:00:00
FR,-IF,2020-09-07 10:00:00,2020-09-08 10:00:00,0 days 21:40:00
AD2006,-F,2020-09-09 07:40:00,2020-09-09 18:21:00,1 days 05:39:00
FR,-IF,2020-09-11 00:00:00,2020-09-12 00:00:00,0 days 00:00:00
FER,-IF,2020-10-01 00:00:00,2020-10-02 00:00:00,0 days 00:00:00
FER,-IF,2020-10-02 00:00:00,2020-10-03 00:00:00,0 days 00:00:00
FER,-IF,2020-10-03 00:00:00,2020-10-04 00:00:00,0 days 00:00:00
FER,-IF,2020-10-04 00:00:00,2020-10-05 00:00:00,0 days 00:00:00
FER,-IF,2020-10-05 00:00:00,2020-10-06 00:00:00,0 days 00:00:00
FER,-IF,2020-10-06 00:00:00,2020-10-07 00:00:00,0 days 00:00:00
FER,-IF,2020-10-07 00:00:00,2020-10-08 00:00:00,0 days 00:00:00
FER,-IF,2020-10-08 00:00:00,2020-10-09 00:00:00,0 days 00:00:00
FER,-IF,2020-10-09 00:00:00,2020-10-10 00:00:00,0 days 00:00:00
FER,-IF,2020-10-10 00:00:00,2020-10-11 00:00:00,0 days 00:00:00
FER,-IF,2020-10-11 00:00:00,2020-10-12 00:00:00,0 days 00:00:00
FR,-IF,2020-10-31 00:00:00,2020-11-01 00:00:00,0 days 00:00:00
FR,-IF,2020-11-01 00:00:00,2020-11-02 00:00:00,0 days 00:00:00
FR,-IF,2020-11-02 00:00:00,2020-11-03 00:00:00,0 days 08:05:00
AD4562,-F,2020-11-03 08:05:00,2020-11-03 15:06:00,0 days 14:14:00
AD4329,-F,2020-11-04 05:20:00,2020-11-04 12:17:00,0 days 15:43:00
CMA,-IF,2020-11-05 04:00:00,2020-11-05 13:00:00,1 days 09:45:00
AD9243,-F,2020-11-06 22:45:00,2020-11-07 06:48:00,0 days 12:42:00
FR,-IF,2020-11-07 19:30:00,2020-11-08 19:30:00,0 days 00:00:00
FR,-IF,2020-11-08 19:30:00,2020-11-09 19:30:00,0 days 02:01:00
AD4170,-F,2020-11-09 21:31:00,2020-11-10 04:04:00,1 days 01:57:00
AD4544,-IF,2020-11-11 06:01:00,2020-11-11 08:35:00,0 days 12:55:00
FP,-IF,2020-11-30 00:45:00,2020-12-01 00:45:00,0 days 00:00:00
F,-IF,2020-12-01 00:45:00,2020-12-02 00:45:00,0 days 00:00:00
F,-IF,2020-12-02 00:45:00,2020-12-03 00:45:00,0 days 00:00:00
F,-IF,2020-12-03 00:45:00,2020-12-04 00:45:00,0 days 00:00:00
F,-IF,2020-12-04 00:45:00,2020-12-05 00:45:00,0 days 00:00:00
F,-IF,2020-12-05 00:45:00,2020-12-06 00:45:00,0 days 15:15:00
R16,-IF,2020-12-06 16:00:00,2020-12-06 19:00:00,0 days 17:00:00
P12,-IF,2020-12-07 12:00:00,2020-12-07 23:45:00,0 days 12:00:00
FR,-IF,2020-12-08 11:45:00,2020-12-09 11:45:00,0 days 20:25:00
PP1,-IF,2020-12-10 08:10:00,2020-12-10 12:10:00,0 days 01:00:00
PP1,-IF,2020-12-10 13:10:00,2020-12-10 17:10:00,0 days 00:00:00
PPS,-IF,2020-12-10 17:10:00,2020-12-10 18:40:00,0 days 12:00:00
FR,-IF,2020-12-11 06:40:00,2020-12-12 06:40:00,0 days 00:00:00
FR,-IF,2020-12-31 10:00:00,2021-01-01 10:00:00,0 days 00:00:00
FR,-IF,2021-01-01 10:00:00,2021-01-02 10:00:00,0 days 00:00:00
FP,-IF,2021-01-02 10:00:00,2021-01-03 10:00:00,0 days 00:00:00
FR,-IF,2021-01-03 10:00:00,2021-01-04 10:00:00,0 days 00:00:00
FR,-IF,2021-01-04 10:00:00,2021-01-05 10:00:00,0 days 14:00:00
SNA,-IF,2021-01-06 00:00:00,2021-01-07 00:00:00,0 days 08:05:00
AD9286,-IF,2021-01-07 08:05:00,2021-01-07 11:45:00,0 days 13:35:00
AD9067,-F,2021-01-08 01:20:00,2021-01-08 06:38:00,0 days 22:42:00
AD4568,-F,2021-01-09 05:20:00,2021-01-09 12:40:00,0 days 12:45:00
FR,-IF,2021-01-10 01:25:00,2021-01-11 01:25:00,0 days 00:00:00
AD4341,-F,2021-01-31 22:55:00,2021-02-01 05:25:00,0 days 18:35:00
SNA,-IF,2021-02-02 00:00:00,2021-02-03 00:00:00,0 days 11:15:00
SFX,-IF,2021-02-03 11:15:00,2021-02-03 15:15:00,0 days 20:00:00
SFX,-IF,2021-02-04 11:15:00,2021-02-04 15:15:00,0 days 20:00:00
SFX,-IF,2021-02-05 11:15:00,2021-02-05 15:15:00,0 days 12:30:00
FR,-IF,2021-02-06 03:45:00,2021-02-07 03:45:00,0 days 00:00:00
FR,-IF,2021-02-07 03:45:00,2021-02-08 03:45:00,0 days 19:10:00
AD4361,-F,2021-02-08 22:55:00,2021-02-09 05:22:00,0 days 18:38:00
SNA,-IF,2021-02-10 00:00:00,2021-02-11 00:00:00,0 days 00:00:00
FR,-IF,2021-02-11 00:00:00,2021-02-12 00:00:00,0 days 00:00:00
FR,-IF,2021-02-28 00:00:00,2021-03-01 00:00:00,0 days 17:25:00
AD4332,-IF,2021-03-01 17:25:00,2021-03-01 21:38:00,0 days 14:52:00
AD4519,-F,2021-03-02 12:30:00,2021-03-02 21:25:00,0 days 19:35:00
AD4429,-F,2021-03-03 17:00:00,2021-03-03 23:50:00,0 days 14:35:00
AD4565,-IF,2021-03-04 14:25:00,2021-03-04 16:55:00,0 days 18:50:00
AD4333,-F,2021-03-05 11:45:00,2021-03-05 21:15:00,0 days 15:00:00
P12,-IF,2021-03-06 12:15:00,2021-03-06 20:00:00,0 days 12:00:00
FR,-IF,2021-03-07 08:00:00,2021-03-08 08:00:00,0 days 00:00:00
FR,-IF,2021-03-08 08:00:00,2021-03-09 08:00:00,0 days 00:30:00
SE,-IF,2021-03-09 08:30:00,2021-03-09 16:30:00,0 days 14:00:00
AD4483,-F,2021-03-10 06:30:00,2021-03-10 12:18:00,1 days 06:57:00
FR,-IF,2021-03-31 09:15:00,2021-04-01 09:15:00,0 days 10:45:00
R20,-IF,2021-04-01 20:00:00,2021-04-01 23:30:00,0 days 14:30:00
P14,-IF,2021-04-02 14:00:00,2021-04-02 22:00:00,0 days 12:00:00
FR,-IF,2021-04-03 10:00:00,2021-04-04 10:00:00,0 days 00:00:00
FR,-IF,2021-04-04 10:00:00,2021-04-05 10:00:00,0 days 14:00:00
